date,opponent,tournament,japan_score,opponent_score,result,venue,manager,scorers,notes
2016-09-01,United Arab Emirates,FIFA World Cup qualification,1,2,L,"Saitama, Japan",,,
2016-09-06,Thailand,FIFA World Cup qualification,2,0,W,"Bangkok, Thailand",,,
2016-10-06,Iraq,FIFA World Cup qualification,2,1,W,"Saitama, Japan",,,
2016-10-11,Australia,FIFA World Cup qualification,1,1,D,"Melbourne, Australia",,,
2016-11-11,Oman,Kirin Challenge Cup,4,0,W,"Kashima, Japan",,,
2016-11-15,Saudi Arabia,FIFA World Cup qualification,2,1,W,"Saitama, Japan",,,
2017-03-23,United Arab Emirates,FIFA World Cup qualification,2,0,W,"Al Ain, United Arab Emirates",,,
2017-03-28,Thailand,FIFA World Cup qualification,4,0,W,"Saitama, Japan",,,
2017-06-07,Syria,Kirin Challenge Cup,1,1,D,"Chōfu, Japan",,,
2017-06-13,Iraq,FIFA World Cup qualification,1,1,D,"Tehran, Iran",,,
2017-08-31,Australia,FIFA World Cup qualification,2,0,W,"Saitama, Japan",,,
2017-09-05,Saudi Arabia,FIFA World Cup qualification,0,1,L,"Jeddah, Saudi Arabia",,,
2017-10-06,New Zealand,Kirin Challenge Cup,2,1,W,"Toyota, Japan",,,
2017-10-10,Haiti,Kirin Challenge Cup,3,3,D,"Yokohama, Japan",,,
2017-11-10,Brazil,Friendly,1,3,L,"Villeneuve-d'Ascq, France",,,
2017-11-14,Belgium,Friendly,0,1,L,"Bruges, Belgium",,,
2017-12-09,North Korea,EAFF Championship,1,0,W,"Chōfu, Japan",,,
2017-12-12,China,EAFF Championship,2,1,W,"Chōfu, Japan",,,
2017-12-16,South Korea,EAFF Championship,1,4,L,"Chōfu, Japan",,,
2018-03-23,Mali,Friendly,1,1,D,"Liège, Belgium",,,
2018-03-27,Ukraine,Friendly,1,2,L,"Liège, Belgium",,,
2018-05-30,Ghana,Friendly,0,2,L,"Yokohama, Japan",,,
2018-06-08,Switzerland,Friendly,0,2,L,"Lugano, Switzerland",,,
2018-06-12,Paraguay,Friendly,4,2,W,"Innsbruck, Austria",,,
2018-06-19,Colombia,FIFA World Cup,2,1,W,"Saransk, Russia",,,
2018-06-24,Senegal,FIFA World Cup,2,2,D,"Ekaterinburg, Russia",,,
2018-06-28,Poland,FIFA World Cup,0,1,L,"Volgograd, Russia",,,
2018-07-02,Belgium,FIFA World Cup,2,3,L,"Rostov-on-Don, Russia",,,
2018-09-11,Costa Rica,Kirin Challenge Cup,3,0,W,"Suita, Japan",,,
2018-10-12,Panama,Kirin Challenge Cup,3,0,W,"Niigata, Japan",,,
2018-10-16,Uruguay,Kirin Challenge Cup,4,3,W,"Saitama, Japan",,,
2018-11-16,Venezuela,Kirin Challenge Cup,1,1,D,"Ōita, Japan",,,
2018-11-20,Kyrgyzstan,Kirin Challenge Cup,4,0,W,"Toyota, Japan",,,
2019-01-09,Turkmenistan,AFC Asian Cup,3,2,W,"Abu Dhabi, United Arab Emirates",,,
2019-01-13,Oman,AFC Asian Cup,1,0,W,"Abu Dhabi, United Arab Emirates",,,
2019-01-17,Uzbekistan,AFC Asian Cup,2,1,W,"Al Ain, United Arab Emirates",,,
2019-01-21,Saudi Arabia,AFC Asian Cup,1,0,W,"Sharjah, United Arab Emirates",,,
2019-01-24,Vietnam,AFC Asian Cup,1,0,W,"Dubai, United Arab Emirates",,,
2019-01-28,Iran,AFC Asian Cup,3,0,W,"Al Ain, United Arab Emirates",,,
2019-02-01,Qatar,AFC Asian Cup,1,3,L,"Abu Dhabi, United Arab Emirates",,,
2019-03-22,Colombia,Kirin Challenge Cup,0,1,L,"Yokohama, Japan",,,
2019-03-26,Bolivia,Kirin Challenge Cup,1,0,W,"Kobe, Japan",,,
2019-06-05,Trinidad and Tobago,Kirin Challenge Cup,0,0,D,"Toyota, Japan",,,
2019-06-09,El Salvador,Kirin Challenge Cup,2,0,W,"Rifu, Japan",,,
2019-06-17,Chile,Copa América,0,4,L,"São Paulo, Brazil",,,
2019-06-20,Uruguay,Copa América,2,2,D,"Porto Alegre, Brazil",,,
2019-06-24,Ecuador,Copa América,1,1,D,"Belo Horizonte, Brazil",,,
2019-09-05,Paraguay,Kirin Challenge Cup,2,0,W,"Kashima, Japan",,,
2019-09-10,Myanmar,FIFA World Cup qualification,2,0,W,"Yangon, Myanmar",,,
2019-10-10,Mongolia,FIFA World Cup qualification,6,0,W,"Saitama, Japan",,,
2019-10-15,Tajikistan,FIFA World Cup qualification,3,0,W,"Dushanbe, Tajikistan",,,
2019-11-14,Kyrgyzstan,FIFA World Cup qualification,2,0,W,"Bishkek, Kyrgyzstan",,,
2019-11-19,Venezuela,Kirin Challenge Cup,1,4,L,"Suita, Japan",,,
2019-12-10,China,EAFF Championship,2,1,W,"Busan, South Korea",,,
2019-12-14,Hong Kong,EAFF Championship,5,0,W,"Busan, South Korea",,,
2019-12-18,South Korea,EAFF Championship,0,1,L,"Busan, South Korea",,,
2020-10-09,Cameroon,Friendly,0,0,D,"Utrecht, Netherlands",,,
2020-10-13,Ivory Coast,Friendly,1,0,W,"Utrecht, Netherlands",,,
2020-11-13,Panama,Friendly,1,0,W,"Graz, Austria",,,
2020-11-17,Mexico,Friendly,0,2,L,"Graz, Austria",,,
2021-03-25,South Korea,Friendly,3,0,W,"Yokohama, Japan",,,
2021-03-30,Mongolia,FIFA World Cup qualification,14,0,W,"Chiba, Japan",,,
2021-05-28,Myanmar,FIFA World Cup qualification,10,0,W,"Chiba, Japan",,,
2021-06-07,Tajikistan,FIFA World Cup qualification,4,1,W,"Suita, Japan",,,
2021-06-11,Serbia,Kirin Challenge Cup,1,0,W,"Kobe, Japan",,,
2021-06-15,Kyrgyzstan,FIFA World Cup qualification,5,1,W,"Suita, Japan",,,
2021-09-02,Oman,FIFA World Cup qualification,0,1,L,"Suita, Japan",,,
2021-09-07,China,FIFA World Cup qualification,1,0,W,"Doha, Qatar",,,
2021-10-07,Saudi Arabia,FIFA World Cup qualification,0,1,L,"Jeddah, Saudi Arabia",,,
2021-10-12,Australia,FIFA World Cup qualification,2,1,W,"Saitama, Japan",,,
2021-11-11,Vietnam,FIFA World Cup qualification,1,0,W,"Hanoi, Vietnam",,,
2021-11-16,Oman,FIFA World Cup qualification,1,0,W,"Muscat, Oman",,,
2022-01-27,China,FIFA World Cup qualification,2,0,W,"Saitama, Japan",,,
2022-02-01,Saudi Arabia,FIFA World Cup qualification,2,0,W,"Saitama, Japan",,,
2022-03-24,Australia,FIFA World Cup qualification,2,0,W,"Sydney, Australia",,,
2022-03-29,Vietnam,FIFA World Cup qualification,1,1,D,"Saitama, Japan",,,
2022-06-02,Paraguay,Friendly,4,1,W,"Sapporo, Japan",,,
2022-06-06,Brazil,Friendly,0,1,L,"Tokyo, Japan",,,
2022-06-10,Ghana,Kirin Cup,4,1,W,"Kobe, Japan",,,
2022-06-14,Tunisia,Kirin Cup,0,3,L,"Suita, Japan",,,
2022-07-19,Hong Kong,EAFF Championship,6,0,W,"Kashima, Japan",,,
2022-07-24,China,EAFF Championship,0,0,D,"Toyota, Japan",,,
2022-07-27,South Korea,EAFF Championship,3,0,W,"Toyota, Japan",,,
2022-09-23,United States,Kirin Challenge Cup,2,0,W,"Düsseldorf, Germany",,,
2022-09-27,Ecuador,Kirin Challenge Cup,0,0,D,"Düsseldorf, Germany",,,
2022-11-17,Canada,Friendly,1,2,L,"Dubai, United Arab Emirates",,,
2022-11-23,Germany,FIFA World Cup,2,1,W,"Al Rayyan, Qatar",,,
2022-11-27,Costa Rica,FIFA World Cup,0,1,L,"Al Rayyan, Qatar",,,
2022-12-01,Spain,FIFA World Cup,2,1,W,"Al Rayyan, Qatar",,,
2022-12-05,Croatia,FIFA World Cup,1,1,D,"Al Wakrah, Qatar",,,
2023-03-24,Uruguay,Friendly,1,1,D,"Tokyo, Japan",,,
2023-03-28,Colombia,Friendly,1,2,L,"Osaka, Japan",,,
2023-06-15,El Salvador,Friendly,6,0,W,"Toyota, Japan",,,
2023-06-20,Peru,Friendly,4,1,W,"Suita, Japan",,,
2023-09-09,Germany,Friendly,4,1,W,"Wolfsburg, Germany",,,
2023-09-12,Turkey,Friendly,4,2,W,"Genk, Belgium",,,
2023-10-13,Canada,Friendly,4,1,W,"Niigata, Japan",,,
2023-11-16,Myanmar,FIFA World Cup qualification,5,0,W,"Suita, Japan",,,
2023-11-21,Syria,FIFA World Cup qualification,5,0,W,"Jeddah, Saudi Arabia",,,
2024-01-01,Thailand,Friendly,5,0,W,"Tokyo, Japan",,,
2024-01-09,Jordan,Friendly,6,1,W,"Doha, Qatar",,,
2024-01-14,Vietnam,AFC Asian Cup,4,2,W,"Doha, Qatar",,,
2024-01-19,Iraq,AFC Asian Cup,1,2,L,"Al Rayyan, Qatar",,,
2024-01-24,Indonesia,AFC Asian Cup,3,1,W,"Doha, Qatar",,,
2024-01-31,Bahrain,AFC Asian Cup,3,1,W,"Doha, Qatar",,,
2024-02-03,Iran,AFC Asian Cup,1,2,L,"Al Rayyan, Qatar",,,
2024-03-21,North Korea,FIFA World Cup qualification,1,0,W,"Tokyo, Japan",,,
2024-06-06,Myanmar,FIFA World Cup qualification,5,0,W,"Yangon, Myanmar",,,
2024-06-11,Syria,FIFA World Cup qualification,5,0,W,"Hiroshima, Japan",,,
2024-09-05,China,FIFA World Cup qualification,7,0,W,"Saitama, Japan",,,
2024-09-10,Bahrain,FIFA World Cup qualification,5,0,W,"Riffa, Bahrain",,,
2024-10-10,Saudi Arabia,FIFA World Cup qualification,2,0,W,"Jeddah, Saudi Arabia",,,
2024-10-15,Australia,FIFA World Cup qualification,1,1,D,"Saitama, Japan",,,
2024-11-15,Indonesia,FIFA World Cup qualification,4,0,W,"Jakarta, Indonesia",,,
2024-11-19,China,FIFA World Cup qualification,3,1,W,"Xiamen, China",,,
2025-03-20,Bahrain,FIFA World Cup qualification,2,0,W,"Saitama, Japan",,,
2025-03-25,Saudi Arabia,FIFA World Cup qualification,0,0,D,"Saitama, Japan",,,
2025-06-05,Australia,FIFA World Cup qualification,0,1,L,"Perth, Australia",,,
2025-06-10,Indonesia,FIFA World Cup qualification,6,0,W,"Suita, Japan",,,
2025-09-06,Mexico,Friendly,0,0,D,"Oakland, United States",,,
2025-09-09,United States,Friendly,0,2,L,"Columbus, United States",,,
2025-10-10,Paraguay,Kirin Cup,2,2,D,"Osaka, Japan",,,
2025-10-14,Brazil,Kirin Cup,3,2,W,"Tokyo, Japan",,,
2025-11-14,Ghana,Kirin Cup,2,0,W,"Toyota, Japan",,,
2025-11-18,Bolivia,Kirin Cup,3,0,W,"Tokyo, Japan",,,
2026-03-28,Scotland,Friendly,1,0,W,"Glasgow, Scotland",,,
2026-03-31,England,Friendly,1,0,W,"London, England",,,
2026-05-31,Iceland,Friendly,1,0,W,"Tokyo, Japan",,,
2026-06-14,Netherlands,FIFA World Cup,2,2,D,"Arlington, United States",,,
2026-06-20,Tunisia,FIFA World Cup,4,0,W,"Guadalupe, Mexico",,,
2026-06-25,Sweden,FIFA World Cup,1,1,D,"Arlington, United States",,,
2026-06-29,Brazil,FIFA World Cup,1,2,L,"Houston, United States",,,
