date,opponent,tournament,japan_score,opponent_score,result,venue,manager,scorers,notes
1970-08-08,Indonesia,Merdeka Tournament,4,3,W,"Kuala Lumpur, Malaysia",,,
1970-08-10,Singapore,Merdeka Tournament,4,0,W,"Kuala Lumpur, Malaysia",,,
1970-08-16,Taiwan,Merdeka Tournament,3,2,W,"Kuala Lumpur, Malaysia",,,
1970-12-10,Malaysia,Asian Games,1,0,W,"Bangkok, Thailand",,,
1970-12-12,Cambodia,Asian Games,1,0,W,"Bangkok, Thailand",,,
1970-12-14,Myanmar,Asian Games,2,1,W,"Bangkok, Thailand",,,
1970-12-16,Indonesia,Asian Games,2,1,W,"Bangkok, Thailand",,,
1970-12-17,India,Asian Games,1,0,W,"Bangkok, Thailand",,,
1970-12-18,South Korea,Asian Games,1,2,L,"Bangkok, Thailand",,,
1970-12-19,India,Asian Games,0,1,L,"Bangkok, Thailand",,,
1971-07-28,Denmark,Friendly,2,3,L,"Copenhagen, Denmark",,,
1971-08-13,Iceland,Friendly,2,0,W,"Reykjavík, Iceland",,,
1972-07-12,Cambodia,Merdeka Tournament,4,1,W,"Kuala Lumpur, Malaysia",,,
1972-07-16,Sri Lanka,Merdeka Tournament,5,0,W,"Ipoh, Malaysia",,,
1972-07-18,Philippines,Merdeka Tournament,5,1,W,"Kuala Lumpur, Malaysia",,,
1972-07-22,Malaysia,Merdeka Tournament,1,3,L,"Kuala Lumpur, Malaysia",,,
1972-07-26,South Korea,Merdeka Tournament,0,3,L,"Kuala Lumpur, Malaysia",,,
1972-08-04,Philippines,Friendly,4,1,W,"Kallang, Singapore",,,
1972-08-06,Indonesia,Friendly,0,1,L,"Kallang, Singapore",,,
1972-09-14,South Korea,Friendly,2,2,D,"Tokyo, Japan",,,
1973-05-16,Israel,FIFA World Cup qualification,1,2,L,"Seoul, South Korea",,,
1973-05-20,Vietnam Republic,FIFA World Cup qualification,4,0,W,"Seoul, South Korea",,,
1973-05-22,Hong Kong,FIFA World Cup qualification,0,1,L,"Seoul, South Korea",,,
1973-05-26,Israel,FIFA World Cup qualification,0,1,L,"Seoul, South Korea",,,
1973-06-23,South Korea,Friendly,0,2,L,"Seoul, South Korea",,,
1974-02-12,Singapore,Friendly,1,0,W,"Kallang, Singapore",,,
1974-02-20,Hong Kong,Friendly,0,0,D,"So Kon Po, Hong Kong",,,
1974-09-03,Philippines,Asian Games,4,0,W,"Tehran, Iran",,,
1974-09-05,Malaysia,Asian Games,1,1,D,"Tehran, Iran",,,
1974-09-07,Israel,Asian Games,0,3,L,"Tehran, Iran",,,
1974-09-28,South Korea,Friendly,4,1,W,"Tokyo, Japan",,,
1975-06-14,Hong Kong,AFC Asian Cup qualification,0,0,D,"So Kon Po, Hong Kong",,,
1975-06-17,North Korea,AFC Asian Cup qualification,0,1,L,"So Kon Po, Hong Kong",,,
1975-06-23,China,AFC Asian Cup qualification,1,2,L,"So Kon Po, Hong Kong",,,
1975-07-30,Hong Kong,Merdeka Tournament,0,2,L,"Kuala Lumpur, Malaysia",,,
1975-08-02,Malaysia,Merdeka Tournament,0,2,L,"Kuala Lumpur, Malaysia",,,
1975-08-04,Bangladesh,Merdeka Tournament,3,0,W,"Kuala Lumpur, Malaysia",,,
1975-08-07,Indonesia,Merdeka Tournament,4,1,W,"Kuala Lumpur, Malaysia",,,
1975-08-09,South Korea,Merdeka Tournament,1,3,L,"Kuala Lumpur, Malaysia",,,
1975-08-11,Thailand,Merdeka Tournament,4,0,W,"Kuala Lumpur, Malaysia",,,
1975-08-14,Myanmar,Merdeka Tournament,2,0,W,"Kuala Lumpur, Malaysia",,,
1975-09-08,South Korea,Friendly,0,3,L,"Seoul, South Korea",,,
1976-01-25,Bulgaria,Friendly,1,3,L,"Tokyo, Japan",,,
1976-01-28,Bulgaria,Friendly,1,1,D,"Osaka, Japan",,,
1976-02-01,Bulgaria,Friendly,0,3,L,"Tokyo, Japan",,,
1976-08-08,India,Merdeka Tournament,5,1,W,"Kuala Lumpur, Malaysia",,,
1976-08-10,Indonesia,Merdeka Tournament,6,0,W,"Kuala Lumpur, Malaysia",,,
1976-08-13,Myanmar,Merdeka Tournament,2,2,D,"Kuala Lumpur, Malaysia",,,
1976-08-16,Thailand,Merdeka Tournament,2,2,D,"Kuala Lumpur, Malaysia",,,
1976-08-18,South Korea,Merdeka Tournament,0,0,D,"Kuala Lumpur, Malaysia",,,
1976-08-20,Malaysia,Merdeka Tournament,2,2,D,"Kuala Lumpur, Malaysia",,,
1976-08-22,Malaysia,Merdeka Tournament,0,2,L,"Kuala Lumpur, Malaysia",,,
1976-12-04,South Korea,Friendly,1,2,L,"Tokyo, Japan",,,
1977-03-06,Israel,FIFA World Cup qualification,0,2,L,"Ramat Gan, Israel",,,
1977-03-10,Israel,FIFA World Cup qualification,0,2,L,"Ramat Gan, Israel",,,
1977-03-26,South Korea,FIFA World Cup qualification,0,0,D,"Tokyo, Japan",,,
1977-04-03,South Korea,FIFA World Cup qualification,0,1,L,"Seoul, South Korea",,,
1977-06-15,South Korea,Friendly,1,2,L,"Seoul, South Korea",,,
1978-05-23,Thailand,Kirin Cup,3,0,W,"Nagoya, Japan",,,
1978-07-13,Iraq,Merdeka Tournament,0,0,D,"Kuala Lumpur, Malaysia",,,
1978-07-15,Indonesia,Merdeka Tournament,1,2,L,"Kuala Lumpur, Malaysia",,,
1978-07-17,Syria,Merdeka Tournament,3,2,W,"Kuala Lumpur, Malaysia",,,
1978-07-19,South Korea,Merdeka Tournament,0,4,L,"Kuala Lumpur, Malaysia",,,
1978-07-21,Malaysia,Merdeka Tournament,1,4,L,"Kuala Lumpur, Malaysia",,,
1978-07-23,Singapore,Merdeka Tournament,1,2,L,"Kuala Lumpur, Malaysia",,,
1978-07-26,Thailand,Merdeka Tournament,4,0,W,"Kuala Lumpur, Malaysia",,,
1978-11-19,Russia,Friendly,1,4,L,"Tokyo, Japan",,,
1978-11-23,Russia,Friendly,1,4,L,"Tokyo, Japan",,,
1978-11-26,Russia,Friendly,0,3,L,"Osaka, Japan",,,
1978-12-11,Kuwait,Asian Games,0,2,L,"Bangkok, Thailand",,,
1978-12-13,Bahrain,Asian Games,4,0,W,"Bangkok, Thailand",,,
1978-12-15,South Korea,Asian Games,1,3,L,"Bangkok, Thailand",,,
1979-03-04,South Korea,Friendly,2,1,W,"Tokyo, Japan",,,
1979-05-31,Indonesia,Kirin Cup,4,0,W,"Tokyo, Japan",,,
1979-06-16,South Korea,Friendly,1,4,L,"Seoul, South Korea",,,
1979-06-29,Malaysia,Merdeka Tournament,1,1,D,"Kuala Lumpur, Malaysia",,,
1979-06-29,Thailand,Merdeka Tournament,2,0,W,"Kuala Lumpur, Malaysia",,,
1979-07-01,Myanmar,Merdeka Tournament,1,0,W,"Kuala Lumpur, Malaysia",,,
1979-07-11,Indonesia,Merdeka Tournament,0,0,D,"Kuala Lumpur, Malaysia",,,
1979-07-13,Singapore,Merdeka Tournament,3,1,W,"Kuala Lumpur, Malaysia",,,
1979-08-23,North Korea,Friendly,0,0,D,"Pyongyang, North Korea",,,
1980-05-11,Luxembourg,Friendly,1,0,W,"Medan, Indonesia",,,
1980-06-09,Hong Kong,Guangzhou International Friendship Tournament,3,1,W,"Guangzhou, China",,,
1980-06-11,China,Guangzhou International Friendship Tournament,0,1,L,"Guangzhou, China",,,
1980-06-18,Hong Kong,Guangzhou International Friendship Tournament,2,0,W,"Guangzhou, China",,,
1980-12-22,Singapore,FIFA World Cup qualification,1,0,W,"So Kon Po, Hong Kong",,,
1980-12-26,China,FIFA World Cup qualification,0,1,L,"So Kon Po, Hong Kong",,,
1980-12-28,Macau,FIFA World Cup qualification,3,0,W,"So Kon Po, Hong Kong",,,
1980-12-30,North Korea,FIFA World Cup qualification,0,1,L,"So Kon Po, Hong Kong",,,
1981-02-08,Malaysia,Friendly,0,1,L,"Kuantan, Malaysia",,,
1981-02-10,Malaysia,Friendly,1,1,D,"Kuala Lumpur, Malaysia",,,
1981-02-17,Singapore,Friendly,1,0,W,"Kallang, Singapore",,,
1981-02-19,Singapore,Friendly,0,0,D,"Kallang, Singapore",,,
1981-02-24,Indonesia,Friendly,0,2,L,"Jakarta, Indonesia",,,
1981-03-08,South Korea,Friendly,0,1,L,"Tokyo, Japan",,,
1981-06-02,China,Kirin Cup,0,0,D,"Saitama, Japan",,,
1981-06-19,Malaysia,Korea Cup,2,0,W,"Daegu, South Korea",,,
1981-06-21,South Korea,Korea Cup,0,2,L,"Busan, South Korea",,,
1981-08-30,Malaysia,Merdeka Tournament,2,0,W,"Kuala Lumpur, Malaysia",,,
1981-09-03,India,Merdeka Tournament,3,2,W,"Kuala Lumpur, Malaysia",,,
1981-09-08,United Arab Emirates,Merdeka Tournament,3,2,W,"Kuala Lumpur, Malaysia",,,
1981-09-12,New Zealand,Merdeka Tournament,0,1,L,"Kuala Lumpur, Malaysia",,,
1981-09-14,Indonesia,Merdeka Tournament,2,0,W,"Kuala Lumpur, Malaysia",,,
1981-09-18,Iraq,Merdeka Tournament,0,2,L,"Kuala Lumpur, Malaysia",,,
1982-03-21,South Korea,Friendly,0,3,L,"Seoul, South Korea",,,
1982-06-02,Singapore,Kirin Cup,2,0,W,"Hiroshima, Japan",,,
1982-11-21,Iran,Asian Games,1,0,W,"New Delhi, India",,,
1982-11-23,South Yemen,Asian Games,3,1,W,"New Delhi, India",,,
1982-11-25,South Korea,Asian Games,2,1,W,"New Delhi, India",,,
1982-11-28,Iraq,Asian Games,0,1,L,"New Delhi, India",,,
1983-02-12,Syria,Friendly,2,2,D,"Damascus, Syria",,,
1983-03-06,South Korea,Friendly,1,1,D,"Tokyo, Japan",,,
1983-06-07,Syria,Kirin Cup,1,0,W,"Tokyo, Japan",,,
1984-03-06,Brunei,Friendly,7,1,W,"Bandar Seri Begawan, Brunei",,,
1984-05-31,China,Kirin Cup,1,0,W,"Saitama, Japan",,,
1984-09-30,South Korea,Friendly,2,1,W,"Seoul, South Korea",,,
1985-02-23,Singapore,FIFA World Cup qualification,3,1,W,"Kallang, Singapore",,,
1985-03-21,North Korea,FIFA World Cup qualification,1,0,W,"Tokyo, Japan",,,
1985-04-30,North Korea,FIFA World Cup qualification,0,0,D,"Pyongyang, North Korea",,,
1985-05-18,Singapore,FIFA World Cup qualification,5,0,W,"Tokyo, Japan",,,
1985-05-26,Uruguay,Kirin Cup,1,4,L,"Tokyo, Japan",,,
1985-08-11,Hong Kong,FIFA World Cup qualification,3,0,W,"Kobe, Japan",,,
1985-09-22,Hong Kong,FIFA World Cup qualification,2,1,W,"Siu Sai Wan, Hong Kong",,,
1985-10-26,South Korea,FIFA World Cup qualification,1,2,L,"Tokyo, Japan",,,
1985-11-03,South Korea,FIFA World Cup qualification,0,1,L,"Seoul, South Korea",,,
1986-05-11,Algeria,Kirin Cup,2,1,W,"Matsuyama, Japan",,,
1986-07-25,Syria,Merdeka Tournament,2,1,W,"Kuala Lumpur, Malaysia",,,
1986-08-01,Malaysia,Merdeka Tournament,1,2,L,"Kuala Lumpur, Malaysia",,,
1986-09-20,Nepal,Asian Games,5,0,W,"Daejeon, South Korea",,,
1986-09-22,Iran,Asian Games,0,2,L,"Daejeon, South Korea",,,
1986-09-24,Kuwait,Asian Games,0,2,L,"Daejeon, South Korea",,,
1986-09-28,Bangladesh,Asian Games,4,0,W,"Daejeon, South Korea",,,
1987-05-27,Senegal,Kirin Cup,2,2,D,"Hiroshima, Japan",,,
1988-01-27,United Arab Emirates,Friendly,1,1,D,"Dubai, United Arab Emirates",,,
1988-01-30,United Arab Emirates,Friendly,0,2,L,"Abu Dhabi, United Arab Emirates",,,
1988-02-02,Oman,Friendly,1,1,D,"Muscat, Oman",,,
1988-04-08,Kuwait,AFC Asian Cup qualification,0,1,L,"Kuala Lumpur, Malaysia",,,
1988-04-11,Malaysia,AFC Asian Cup qualification,1,0,W,"Kuala Lumpur, Malaysia",,,
1988-04-16,Jordan,AFC Asian Cup qualification,1,1,D,"Kuala Lumpur, Malaysia",,,
1988-04-18,Pakistan,AFC Asian Cup qualification,4,1,W,"Kuala Lumpur, Malaysia",,,
1988-06-02,China,Kirin Cup,0,3,L,"Nagoya, Japan",,,
1988-10-26,South Korea,Friendly,0,1,L,"Tokyo, Japan",,,
1988-12-04,Iran,AFC Asian Cup,0,0,D,"Doha, Qatar",,,
1988-12-06,South Korea,AFC Asian Cup,0,2,L,"Doha, Qatar",,,
1988-12-10,United Arab Emirates,AFC Asian Cup,0,1,L,"Doha, Qatar",,,
1988-12-12,Qatar,AFC Asian Cup,0,3,L,"Doha, Qatar",,,
1989-01-20,Iran,Friendly,2,2,D,"Tehran, Iran",,,
1989-05-05,South Korea,Friendly,0,1,L,"Seoul, South Korea",,,
1989-05-10,China,Friendly,2,2,D,"Tokyo, Japan",,,
1989-05-13,China,Friendly,2,0,W,"Okayama, Japan",,,
1989-05-22,Hong Kong,FIFA World Cup qualification,0,0,D,"Victoria, Hong Kong",,,
1989-05-28,Indonesia,FIFA World Cup qualification,0,0,D,"Jakarta, Indonesia",,,
1989-06-04,North Korea,FIFA World Cup qualification,2,1,W,"Tokyo, Japan",,,
1989-06-11,Indonesia,FIFA World Cup qualification,5,0,W,"Tokyo, Japan",,,
1989-06-18,Hong Kong,FIFA World Cup qualification,0,0,D,"Kobe, Japan",,,
1989-06-25,North Korea,FIFA World Cup qualification,0,2,L,"Pyongyang, North Korea",,,
1989-07-23,Brazil,Friendly,0,1,L,"Rio de Janeiro, Brazil",,,
1990-07-27,South Korea,Dynasty Cup,0,2,L,"Beijing, China",,,
1990-07-29,China,Dynasty Cup,0,1,L,"Beijing, China",,,
1990-07-31,North Korea,Dynasty Cup,0,1,L,"Beijing, China",,,
1990-09-26,Bangladesh,Asian Games,3,0,W,"Beijing, China",,,
1990-09-28,Saudi Arabia,Asian Games,0,2,L,"Beijing, China",,,
1990-10-01,Iran,Asian Games,0,1,L,"Beijing, China",,,
1991-06-02,Thailand,Kirin Cup,1,0,W,"Tendo, Japan",,,
1991-07-27,South Korea,Friendly,0,1,L,"Nagasaki, Japan",,,
1992-05-30,Argentina,Kirin Cup,0,1,L,"Tokyo, Japan",,,
1992-06-07,Wales,Kirin Cup,0,1,L,"Matsuyama, Japan",,,
1992-08-22,South Korea,Dynasty Cup,0,0,D,"Beijing, China",,,
1992-08-24,China,Dynasty Cup,2,0,W,"Beijing, China",,,
1992-08-26,North Korea,Dynasty Cup,4,1,W,"Beijing, China",,,
1992-08-29,South Korea,Dynasty Cup,2,2,D,"Beijing, China",,,
1992-10-30,United Arab Emirates,AFC Asian Cup,0,0,D,"Onomichi, Japan",,,
1992-11-01,North Korea,AFC Asian Cup,1,1,D,"Hiroshima, Japan",,,
1992-11-03,Iran,AFC Asian Cup,1,0,W,"Hiroshima, Japan",,,
1992-11-06,China,AFC Asian Cup,3,2,W,"Hiroshima, Japan",,,
1992-11-08,Saudi Arabia,AFC Asian Cup,1,0,W,"Hiroshima, Japan",,,
1993-01-23,Switzerland,Friendly,1,1,D,"Hong Kong, Hong Kong",,,
1993-03-07,Hungary,Kirin Cup,0,1,L,"Fukuoka, Japan",,,
1993-03-14,United States,Kirin Cup,3,1,W,"Tokyo, Japan",,,
1993-04-08,Thailand,FIFA World Cup qualification,1,0,W,"Kobe, Japan",,,
1993-04-11,Bangladesh,FIFA World Cup qualification,8,0,W,"Tokyo, Japan",,,
1993-04-15,Sri Lanka,FIFA World Cup qualification,5,0,W,"Tokyo, Japan",,,
1993-04-18,United Arab Emirates,FIFA World Cup qualification,2,0,W,"Tokyo, Japan",,,
1993-04-28,Thailand,FIFA World Cup qualification,1,0,W,"Dubai, United Arab Emirates",,,
1993-04-30,Bangladesh,FIFA World Cup qualification,4,1,W,"Dubai, United Arab Emirates",,,
1993-05-05,Sri Lanka,FIFA World Cup qualification,6,0,W,"Dubai, United Arab Emirates",,,
1993-05-07,United Arab Emirates,FIFA World Cup qualification,1,1,D,"Al Ain, United Arab Emirates",,,
1993-10-04,Ivory Coast,Friendly,1,0,W,"Tokyo, Japan",,,
1993-10-15,Saudi Arabia,FIFA World Cup qualification,0,0,D,"Doha, Qatar",,,
1993-10-18,Iran,FIFA World Cup qualification,1,2,L,"Doha, Qatar",,,
1993-10-21,North Korea,FIFA World Cup qualification,3,0,W,"Doha, Qatar",,,
1993-10-25,South Korea,FIFA World Cup qualification,1,0,W,"Doha, Qatar",,,
1993-10-28,Iraq,FIFA World Cup qualification,2,2,D,"Doha, Qatar",,,
1994-05-22,Australia,Kirin Cup,1,1,D,"Hiroshima, Japan",,,
1994-05-29,France,Kirin Cup,1,4,L,"Tokyo, Japan",,,
1994-07-08,Ghana,Friendly,3,2,W,"Nagoya, Japan",,,
1994-07-14,Ghana,Friendly,2,1,W,"Kobe, Japan",,,
1994-09-27,Australia,Friendly,0,0,D,"Tokyo, Japan",,,
1994-10-03,United Arab Emirates,Asian Games,1,1,D,"Miyoshi, Japan",,,
1994-10-05,Qatar,Asian Games,1,1,D,"Hiroshima, Japan",,,
1994-10-09,Myanmar,Asian Games,5,0,W,"Onomichi, Japan",,,
1994-10-11,South Korea,Asian Games,2,3,L,"Hiroshima, Japan",,,
1995-01-06,Nigeria,Confederations Cup,0,3,L,"Riyadh, Saudi Arabia",,,
1995-01-08,Argentina,Confederations Cup,1,5,L,"Riyadh, Saudi Arabia",,,
1995-02-15,Australia,Friendly,1,2,L,"Sydney, Australia",,,
1995-02-19,Hong Kong,Dynasty Cup,3,0,W,"Victoria, Hong Kong",,,
1995-02-21,South Korea,Dynasty Cup,1,1,D,"Victoria, Hong Kong",,,
1995-02-22,Thailand,King's Cup,2,3,L,"Bangkok, Thailand",,,
1995-02-23,China,Dynasty Cup,2,1,W,"Victoria, Hong Kong",,,
1995-02-26,South Korea,Dynasty Cup,2,2,D,"Victoria, Hong Kong",,,
1995-05-21,Scotland,Kirin Cup,0,0,D,"Hiroshima, Japan",,,
1995-05-28,Ecuador,Kirin Cup,3,0,W,"Tokyo, Japan",,,
1995-06-03,England,Friendly,1,2,L,"London, England",,,
1995-06-06,Brazil,Friendly,0,3,L,"Liverpool, England",,,
1995-06-10,Sweden,Friendly,2,2,D,"Nottingham, England",,,
1995-08-06,Costa Rica,Friendly,3,0,W,"Kyoto, Japan",,,
1995-08-09,Brazil,Friendly,1,5,L,"Tokyo, Japan",,,
1995-09-20,Paraguay,Friendly,1,2,L,"Tokyo, Japan",,,
1995-10-24,Saudi Arabia,Friendly,2,1,W,"Tokyo, Japan",,,
1995-10-28,Saudi Arabia,Friendly,2,1,W,"Matsuyama, Japan",,,
1996-02-10,Australia,Friendly,4,1,W,"Wollongong, Australia",,,
1996-02-14,Australia,Friendly,0,3,L,"Melbourne, Australia",,,
1996-02-19,Poland,Lunar New Year Cup,5,0,W,"So Kon Po, Hong Kong",,,
1996-02-22,Sweden,Lunar New Year Cup,1,1,D,"So Kon Po, Hong Kong",,,
1996-05-26,Serbia,Kirin Cup,1,0,W,"Tokyo, Japan",,,
1996-05-29,Mexico,Kirin Cup,3,2,W,"Fukuoka, Japan",,,
1996-08-25,Uruguay,Friendly,5,3,W,"Osaka, Japan",,,
1996-09-11,Uzbekistan,Friendly,1,0,W,"Tokyo, Japan",,,
1996-10-13,Tunisia,Friendly,1,0,W,"Kobe, Japan",,,
1996-12-06,Syria,AFC Asian Cup,2,1,W,"Al Ain, United Arab Emirates",,,
1996-12-09,Uzbekistan,AFC Asian Cup,4,0,W,"Al Ain, United Arab Emirates",,,
1996-12-12,China,AFC Asian Cup,1,0,W,"Al Ain, United Arab Emirates",,,
1996-12-15,Kuwait,AFC Asian Cup,0,2,L,"Al Ain, United Arab Emirates",,,
1997-02-09,Thailand,King's Cup,1,1,D,"Bangkok, Thailand",,,
1997-02-13,Sweden,King's Cup,0,1,L,"Bangkok, Thailand",,,
1997-03-15,Thailand,Friendly,1,3,L,"Bangkok, Thailand",,,
1997-03-23,Oman,FIFA World Cup qualification,1,0,W,"Muscat, Oman",,,
1997-03-25,Macau,FIFA World Cup qualification,10,0,W,"Muscat, Oman",,,
1997-03-27,Nepal,FIFA World Cup qualification,6,0,W,"Muscat, Oman",,,
1997-05-11,Guam,East Asian Games,12,0,W,"Busan, South Korea",,,
1997-05-13,Mongolia,East Asian Games,5,0,W,"Busan, South Korea",,,
1997-05-15,Kazakhstan,East Asian Games,2,2,D,"Busan, South Korea",,,
1997-05-17,China,East Asian Games,0,2,L,"Busan, South Korea",,,
1997-05-21,South Korea,Friendly,1,1,D,"Tokyo, Japan",,,
1997-06-08,Croatia,Kirin Cup,4,3,W,"Tokyo, Japan",,,
1997-06-15,Turkey,Kirin Cup,1,0,W,"Osaka, Japan",,,
1997-06-22,Macau,FIFA World Cup qualification,10,0,W,"Tokyo, Japan",,,
1997-06-25,Nepal,FIFA World Cup qualification,3,0,W,"Tokyo, Japan",,,
1997-06-28,Oman,FIFA World Cup qualification,1,1,D,"Tokyo, Japan",,,
1997-08-13,Brazil,Friendly,0,3,L,"Osaka, Japan",,,
1997-09-07,Uzbekistan,FIFA World Cup qualification,6,3,W,"Tokyo, Japan",,,
1997-09-19,United Arab Emirates,FIFA World Cup qualification,0,0,D,"Abu Dhabi, United Arab Emirates",,,
1997-09-28,South Korea,FIFA World Cup qualification,1,2,L,"Tokyo, Japan",,,
1997-10-04,Kazakhstan,FIFA World Cup qualification,1,1,D,"Almaty, Kazakhstan",,,
1997-10-11,Uzbekistan,FIFA World Cup qualification,1,1,D,"Tashkent, Uzbekistan",,,
1997-10-26,United Arab Emirates,FIFA World Cup qualification,1,1,D,"Tokyo, Japan",,,
1997-11-01,South Korea,FIFA World Cup qualification,2,0,W,"Seoul, South Korea",,,
1997-11-08,Kazakhstan,FIFA World Cup qualification,5,1,W,"Tokyo, Japan",,,
1997-11-16,Iran,FIFA World Cup qualification,3,2,W,"Johor Bahru, Malaysia",,,
1998-02-15,Australia,Friendly,3,0,W,"Adelaide, Australia",,,
1998-03-01,South Korea,Dynasty Cup,2,1,W,"Yokohama, Japan",,,
1998-03-04,Hong Kong,Dynasty Cup,5,1,W,"Yokohama, Japan",,,
1998-03-07,China,Dynasty Cup,0,2,L,"Tokyo, Japan",,,
1998-04-01,South Korea,Friendly,1,2,L,"Seoul, South Korea",,,
1998-05-17,Paraguay,Kirin Cup,1,1,D,"Tokyo, Japan",,,
1998-05-24,Czech Republic,Kirin Cup,0,0,D,"Yokohama, Japan",,,
1998-05-31,Mexico,Friendly,1,2,L,"Lausanne, Switzerland",,,
1998-06-03,Serbia,Friendly,0,1,L,"Lausanne, Switzerland",,,
1998-06-14,Argentina,FIFA World Cup,0,1,L,"Toulouse, France",,,
1998-06-20,Croatia,FIFA World Cup,0,1,L,"Nantes, France",,,
1998-06-26,Jamaica,FIFA World Cup,1,2,L,"Lyon, France",,,
1998-10-28,Egypt,Friendly,1,0,W,"Osaka, Japan",,,
1998-12-01,Nepal,Asian Games,5,0,W,"Trang, Thailand",,,
1998-12-03,India,Asian Games,1,0,W,"Trang, Thailand",,,
1998-12-07,South Korea,Asian Games,0,2,L,"Bangkok, Thailand",,,
1998-12-09,Kuwait,Asian Games,2,1,W,"Bangkok, Thailand",,,
1998-12-11,United Arab Emirates,Asian Games,0,1,L,"Bangkok, Thailand",,,
1999-03-31,Brazil,Friendly,0,2,L,"Tokyo, Japan",,,
1999-06-03,Belgium,Kirin Cup,0,0,D,"Tokyo, Japan",,,
1999-06-06,Peru,Kirin Cup,0,0,D,"Yokohama, Japan",,,
1999-06-29,Peru,Copa América,2,3,L,"Asunción, Paraguay",,,
1999-07-02,Paraguay,Copa América,0,4,L,"Asunción, Paraguay",,,
1999-07-05,Bolivia,Copa América,1,1,D,"Pedro Juan Caballero, Paraguay",,,
1999-09-08,Iran,Friendly,1,1,D,"Yokohama, Japan",,,
2000-02-05,Mexico,Lunar New Year Cup,0,1,L,"So Kon Po, Hong Kong",,,
2000-02-13,Singapore,AFC Asian Cup qualification,3,0,W,"Macau, Macau",,,
2000-02-16,Brunei,AFC Asian Cup qualification,9,0,W,"Macau, Macau",,,
2000-02-20,Macau,AFC Asian Cup qualification,3,0,W,"Macau, Macau",,,
2000-03-15,China,Friendly,0,0,D,"Kobe, Japan",,,
2000-04-26,South Korea,Friendly,0,1,L,"Seoul, South Korea",,,
2000-06-04,France,King Hassan II Tournament,2,2,D,"Casablanca, Morocco",,,
2000-06-06,Jamaica,King Hassan II Tournament,4,0,W,"Casablanca, Morocco",,,
2000-06-11,Slovakia,Kirin Cup,1,1,D,"Rifu, Japan",,,
2000-06-18,Bolivia,Kirin Cup,2,0,W,"Yokohama, Japan",,,
2000-08-16,United Arab Emirates,Friendly,3,1,W,"Hiroshima, Japan",,,
2000-10-14,Saudi Arabia,AFC Asian Cup,4,1,W,"Sidon, Lebanon",,,
2000-10-17,Uzbekistan,AFC Asian Cup,8,1,W,"Sidon, Lebanon",,,
2000-10-20,Qatar,AFC Asian Cup,1,1,D,"Beirut, Lebanon",,,
2000-10-24,Iraq,AFC Asian Cup,4,1,W,"Beirut, Lebanon",,,
2000-10-26,China,AFC Asian Cup,3,2,W,"Beirut, Lebanon",,,
2000-10-29,Saudi Arabia,AFC Asian Cup,1,0,W,"Beirut, Lebanon",,,
2000-12-20,South Korea,Friendly,1,1,D,"Tokyo, Japan",,,
2001-01-23,Serbia,Millennium Cup,0,1,L,"Calcutta, India",,,
2001-03-24,France,Friendly,0,5,L,"Saint-Denis, France",,,
2001-04-25,Spain,Friendly,0,1,L,"Córdoba, Spain",,,
2001-05-31,Canada,Confederations Cup,3,0,W,"Niigata, Japan",,,
2001-06-02,Cameroon,Confederations Cup,2,0,W,"Niigata, Japan",,,
2001-06-04,Brazil,Confederations Cup,0,0,D,"Kashima, Japan",,,
2001-06-07,Australia,Confederations Cup,1,0,W,"Yokohama, Japan",,,
2001-06-10,France,Confederations Cup,0,1,L,"Yokohama, Japan",,,
2001-07-01,Paraguay,Kirin Cup,2,0,W,"Sapporo, Japan",,,
2001-07-04,Serbia,Kirin Cup,1,0,W,"Ōita, Japan",,,
2001-08-15,Australia,Friendly,3,0,W,"Fukuroi, Japan",,,
2001-10-04,Senegal,Friendly,0,2,L,"Lens, France",,,
2001-10-07,Nigeria,Friendly,2,2,D,"Southampton, England",,,
2001-11-07,Italy,Friendly,1,1,D,"Saitama, Japan",,,
2002-03-21,Ukraine,Friendly,1,0,W,"Osaka, Japan",,,
2002-03-27,Poland,Friendly,2,0,W,"Łódź, Poland",,,
2002-04-17,Costa Rica,Friendly,1,1,D,"Yokohama, Japan",,,
2002-04-29,Slovakia,Kirin Cup,1,0,W,"Tokyo, Japan",,,
2002-05-02,Honduras,Kirin Cup,3,3,D,"Kobe, Japan",,,
2002-05-14,Norway,Friendly,0,3,L,"Oslo, Norway",,,
2002-05-25,Sweden,Friendly,1,1,D,"Tokyo, Japan",,,
2002-06-04,Belgium,FIFA World Cup,2,2,D,"Saitama, Japan",,,
2002-06-09,Russia,FIFA World Cup,1,0,W,"Yokohama, Japan",,,
2002-06-14,Tunisia,FIFA World Cup,2,0,W,"Osaka, Japan",,,
2002-06-18,Turkey,FIFA World Cup,0,1,L,"Rifu, Japan",,,
2002-10-16,Jamaica,Friendly,1,1,D,"Tokyo, Japan",,,
2002-11-20,Argentina,Friendly,0,2,L,"Saitama, Japan",,,
2003-03-28,Uruguay,Friendly,2,2,D,"Tokyo, Japan",,,
2003-04-16,South Korea,Friendly,1,0,W,"Seoul, South Korea",,,
2003-05-31,South Korea,Friendly,0,1,L,"Tokyo, Japan",,,
2003-06-08,Argentina,Kirin Cup,1,4,L,"Osaka, Japan",,,
2003-06-11,Paraguay,Kirin Cup,0,0,D,"Saitama, Japan",,,
